Ernie | Fox | Machine Learning | 20
Modesta | Tanenbaum | Neural Networks | 30
Wright | Herik | Coding | 30
Vivyan | Pearl | Neural Networks | 20
Lorraine | Herik | Coding | 20
Kakalina | Minsky | C | 30
Zulema | Minsky | Javascript | 30
Allina | Herik | C++ | 30
Aviva | Minsky | Machine Learning | 30
Blake | Allen | C | 30
Nataline | Allen | Coding | 30
Celka | Tanenbaum | Neural Networks | 30
Nicolas | Fox | Machine Learning | 20
Didi | Minsky | Javascript | 20
Melodee | Pearl | Security | 20
Janet | Ballard | Networking | 30
Colan | Herik | Coding | 30
Ludovika | Minsky | C++ | 20
Rubi | Ballard | Algorithms | 20
Anitra | Minsky | Coding | 20
Sarge | Minsky | C | 30
Antony | Fox | Machine Learning | 30
Noll | Pearl | C++ | 20
Darline | Minsky | Neural Networks | 20
Collin | Herik | Networking | 20
