Ernie | Fox | Machine Learning | 20
Modesta | Tanenbaum | Neural Networks | 30
Wright | Herik | Coding | 30
Vivyan | Pearl | Neural Networks | 20
Lorraine | Herik | Coding | 20
Kakalina | Minsky | C | 30
Zulema | Minsky | Javascript | 30
Allina | Herik | C++ | 30
Aviva | Minsky | Machine Learning | 30
Blake | Allen | C | 30
Nataline | Allen | Coding | 30
Celka | Tanenbaum | Neural Networks | 30
Nicolas | Fox | Machine Learning | 20
Didi | Minsky | Javascript | 20
Melodee | Pearl | Security | 20
Janet | Ballard | Networking | 30
Colan | Herik | Coding | 30
Ludovika | Minsky | C++ | 20
Rubi | Ballard | Algorithms | 20
Anitra | Minsky | Coding | 20
Sarge | Minsky | C | 30
Antony | Fox | Machine Learning | 30
Noll | Pearl | C++ | 20
Darline | Minsky | Neural Networks | 20
Collin | Herik | Networking | 20
Christoph | Fox | Machine Learning | 30
Pasquale | Allen | Coding | 30
Rickard | Fox | Algorithms | 20
Lesley | Ballard | AI | 20
Heddi | Ballard | Neural Networks | 30
Adriano | Pearl | Coding | 20
Alysa | Norvig | Machine Learning | 20
Skipp | Herik | Machine Learning | 30
Jedidiah | Pearl | C | 20
Marissa | Minsky | Neural Networks | 20
Kimbell | Herik | Networking | 30
Amity | Herik | AI | 20
Marci | Allen | Security | 30
Isac | Ballard | Networking | 20
Shelagh | Ballard | Coding | 20
Marcille | Ballard | Algorithms | 20
Suzi | Norvig | C | 20
Dyan | Ballard | AI | 20
Raquela | Pearl | C++ | 30
Nanine | Fox | Javascript | 20
Korney | Ballard | C | 30
Cynthie | Fox | Algorithms | 20
Andy | Minsky | Neural Networks | 20
Gunter | Minsky | C | 20
Aaren | Tanenbaum | AI | 30
